id;movie_name;language;box_office;year;companies;countries;director
2995;Chasers;en;9.853;1994;Warner Bros. and Morgan Creek Productions;US;NONE
2765;Cinema Paradiso;NONE;14.177;1988;Rai Tre Radiotelevisione Italiana;NONE;NONE
1031;Waltz with Bashir;he;7.637;2008;Les Films d'Ici and Bridgit Folman Film Gang and Razor Film Produktion;IL and FR and DE;NONE
226;Drive Angry;en;7.669;2011;Summit Entertainment and Saturn Films and Nu Image Films and Millennium Films and Michael De Luca Productions;NONE;Patrick Lussier
1311;A Man for All Seasons;en;NONE;NONE;NONE;GB;Fred Zinnemann
2730;The Piano;en;NONE;NONE;New South Wales Film & Television Office and The Australian Film Commission and CiBy 2000 and Jan Chapman Productions;NZ and AU and FR;Jane Campion
1458;Mambo Italiano;en;NONE;2003;icon;NONE;√âmile Gaudreault
745;The Diving Bell and the Butterfly;NONE;11.090;2007;NONE;NONE;Julian Schnabel
658;Enter the Void;en;NONE;NONE;NONE;CA and FR and DE and IT;Gaspar No√©
550;Phone Booth;NONE;9.143;2002;NONE;NONE;Joel Schumacher
1545;Daybreakers;en;10.039;NONE;NONE;US and AU;Michael Spierig and Peter Spierig
1087;Jackass Number Two;en;7.915;2006;Paramount Pictures;US;NONE
2313;The Iron Lady;NONE;NONE;2011;UK Film Council and Canal+ and DJ Films and CinéCinéma and Pathé and Film4 and Goldcrest Pictures and Yuk Films;FR and GB;NONE
355;Chasing Trane;en;NONE;2017;NONE;US;NONE
1166;Niagara;en;14.605;1953;Twentieth Century Fox Film Corporation;NONE;Henry Hathaway
2039;Possession;NONE;4.439;NONE;Warner Bros. Pictures and Focus Features and Baltimore Spring Creek Productions;GB and US;Neil LaBute
803;Robin Hood;en;NONE;1973;NONE;NONE;Wolfgang Reitherman
1831;The Best Movie 3-DE;NONE;NONE;NONE;TNT;RU;Kirill Kuzin
414;The Dictator;en;NONE;NONE;Paramount Pictures;US;NONE
435;White Water Summer;en;7.746;NONE;NONE;US;Jeff Bleckner
1286;Sudden Impact;en;NONE;1983;Warner Bros.;US;Clint Eastwood
876;White Nights;en;NONE;1985;Columbia Pictures;US;NONE
49;Star Trek: Generations;en;8.106;NONE;Paramount Pictures;US;David Carson
1936;Blues Brothers 2000;en;13.162;NONE;Universal Pictures;US;NONE
394;The Cannonball Run;en;NONE;1981;Eurasia Investments;NONE;Hal Needham
1557;The Legend of Zorro;NONE;8.940;2005;Amblin Entertainment and Columbia Pictures Corporation;NONE;NONE
2796;The Princess of Montpensier;fr;NONE;NONE;Paradis Films;FR and DE;Bertrand Tavernier
950;Christopher Columbus: The Discovery;fr;NONE;NONE;Warner Bros.;ES and GB and US;John Glen
698;Beasts of No Nation;en;NONE;2015;NONE;US;Cary Fukunaga
1053;FBI: Frikis buscan incordiar;NONE;0.044;2004;NONE;ES;NONE
348;Nausicaä of the Valley of the Wind;NONE;11.267;NONE;Topcraft;JP;NONE
101;A Beautiful Mind;en;11.936;2001;NONE;NONE;NONE
822;Shall We Dance?;NONE;NONE;2004;Miramax Films;NONE;Peter Chelsom
188;WALL·E;NONE;NONE;NONE;Walt Disney Pictures and Pixar Animation Studios and FortyFour Studios;US;Andrew Stanton
467;Sydney White;en;NONE;NONE;Morgan Creek Productions and Clifford Werber Productions and SW7D Productions;US;NONE
2098;Band of Outsiders;fr;5.648;1964;Orsay Films;FR;NONE
1600;The Big Bounce;en;NONE;2004;NONE;NONE;George Armitage
639;Pollock;en;NONE;2000;NONE;US;NONE
1609;High Art;en;NONE;1998;NONE;NONE;Lisa Cholodenko
2329;Late Autumn;NONE;NONE;NONE;North by Northwest Entertainment and Boram Entertainment Inc. and Film Workshop;CN and US and KR and HK;Kim Tae-yong
2752;Barfly;en;15.170;NONE;NONE;US;Barbet Schroeder
2681;Death Wish 5: The Face of Death;en;3.596;NONE;NONE;NONE;Allan A. Goldstein
1548;Varalaru;en;0.483;NONE;NONE;IN;NONE
2629;Homeward Bound II: Lost in San Francisco;en;14.658;NONE;NONE;CA and US;David R. Ellis
1287;Grand Hotel;en;NONE;1932;Metro-Goldwyn-Mayer (MGM);US;Edmund Goulding
2097;Pirates of the Caribbean: The Curse of the Black Pearl;en;NONE;NONE;Walt Disney Pictures and Jerry Bruckheimer Films;US;Gore Verbinski
727;Knocked Up;en;9.059;NONE;NONE;US;Judd Apatow
2581;The November Man;en;NONE;NONE;NONE;GB and US;Roger Donaldson
1827;Always - Sunset on Third Street;NONE;0.418;NONE;DENTSU Music And Entertainment;JP;Takashi Yamazaki
2308;The Rapture;NONE;8.320;1991;Fine Line Features;US;Michael Tolkin
801;Love & Friendship;NONE;NONE;NONE;Blinder Films and Chic Films and Amazon Studios and Westerly Films and Revolver Amsterdam;GB and US and IE and NL and FR;Whit Stillman
926;8MM;NONE;7.474;1999;Columbia Pictures Corporation and Hofflund/Polone and Global Entertainment Productions GmbH & Company Medien KG;US;NONE
2793;Ted 2;en;42.061;NONE;Universal Pictures and Fuzzy Door Productions and Bluegrass Films and Smart Entertainment and Media Rights Capital (MRC);US;Seth MacFarlane
915;Rurouni Kenshin;ja;7.917;2012;NONE;JP;Keishi Ohtomo
1236;Runaway Jury;NONE;NONE;2003;NONE;US;Gary Fleder
1485;Happiness;NONE;NONE;1998;Killer Films and Good Machine;US;Todd Solondz
1350;The Comedians;NONE;2.863;1967;NONE;NONE;Peter Glenville
2231;The Midnight Meat Train;NONE;13.390;2008;NONE;NONE;Ry√ªhei Kitamura
1082;The Disappearance of Eleanor Rigby: Them;en;NONE;2014;Myriad Pictures and Unison Films and Kim and Jim Productions and Division Films and Dreambridge Films;US;Ned Benson
933;Cowboys & Aliens;NONE;10.959;2011;Imagine Entertainment and DreamWorks SKG and Universal Pictures and platinum studios and Reliance Entertainment and Relativity Media and K/O Paper Products and Fairview Entertainment and K/O Camera Toys;NONE;NONE
532;SpaceCamp;NONE;6.417;1986;ABC Motion Pictures;NONE;NONE
1346;East of Eden;en;6.429;1955;NONE;US;NONE
2961;Porky's;en;12.651;1981;NONE;US and CA;Bob Clark
1067;Silver Streak;en;NONE;NONE;Twentieth Century Fox Film Corporation and Frank Yablans Presentations and Miller-Milkis Productions;US;Arthur Hiller
1477;Percy Jackson & the Olympians: The Lightning Thief;en;9.786;NONE;Ingenious Film Partners and 1492 Pictures and Dune Entertainment and Fox 2000 Pictures and Sunswept Entertainment and Dune Entertainment III and Big Screen Productions and TCF Vancouver Productions;CA and US;Chris Columbus
2934;Diary of a Wimpy Kid: Dog Days;NONE;10.226;2012;Fox 2000 Pictures;NONE;NONE
1462;It's Kind of a Funny Story;en;8.172;NONE;Focus Features;US;Ryan Fleck and Anna Boden
69;The Fast and the Furious: Tokyo Drift;en;2.239;2006;Universal Pictures;JP and US;NONE
867;Close My Eyes;NONE;NONE;1991;Film 4 and Film Four International and Beambright;GB;Stephen Poliakoff
1177;The Manchurian Candidate;NONE;10.797;NONE;Paramount Pictures and Scott Rudin Productions and Clinica Estetico;US;Jonathan Demme
2410;Fired Up!;NONE;NONE;2009;Screen Gems and Moving Pictures, DPI and Weinstock Productions and Gross Entertainment;US;Will Gluck
1657;About Last Night;NONE;9.543;2014;Screen Gems, Inc. and Rainforest Films and Olive Bridge Entertainment;US;Steve Pink
2158;The Life Aquatic with Steve Zissou;en;NONE;2004;NONE;US;NONE
1764;The Bridge on the River Kwai;en;8.852;1957;Columbia Pictures Corporation and Horizon Pictures (II);GB and US;NONE
560;Look;NONE;1.283;2007;Capture Film Internatrional and Meteor Film Productions;US;Adam Rifkin
1451;The Death and Life of Bobby Z;en;NONE;2007;NONE;DE and US;NONE
1043;Salome's Last Dance;en;0.655;1988;NONE;GB and US;Ken Russell
2918;The Big Town;en;4.235;NONE;Columbia Pictures Corporation and Albacore Productions Inc.;NONE;Ben Bolt
2888;The Caine Mutiny;en;9.000;1954;Stanley Kramer Productions;US;NONE
827;Monkey King: Hero Is Back;NONE;3.759;2015;Hengdian Chinese Film Production Co. and Beijing Weiyingshidai Culture & Media;CN;NONE
1732;Grand Masti;hi;1.250;2013;Maruti International;IN;NONE
2400;Happy Accidents;en;9.916;2000;NONE;NONE;NONE
544;Sweet Charity;NONE;0.537;1969;Universal Pictures;US;Bob Fosse
557;Baggage Claim;en;5.591;NONE;Sneak Preview Productions;NONE;NONE
595;A Prince (almost) Charming;NONE;1.985;2013;NONE;NONE;Philippe Lellouche
1002;To Die For;en;NONE;1995;The Rank Organisation and Columbia Pictures Corporation;NONE;Gus Van Sant
1612;Cool Runnings;en;8.307;NONE;Walt Disney;US;NONE
1027;Star 80;en;4.120;NONE;NONE;US;Bob Fosse
151;Holy Hell;en;NONE;2016;Whitewater Films and Very Special Projects and WRA Productions;US;Will Allen
567;One for the Money;en;6.322;NONE;Lakeshore Entertainment and Sidney Kimmel Entertainment;NONE;Julie Anne Robinson
331;Bodyguards and Assassins;NONE;NONE;2009;China Film Group Corporation;CN;NONE
844;Dracula;en;7.503;NONE;Universal Pictures;NONE;NONE
515;Stir of Echoes;en;5.876;1999;Artisan Entertainment;NONE;David Koepp
2979;The Back-Up Plan;NONE;NONE;2010;NONE;US;Alan Poul
420;Midnight in Paris;NONE;11.433;NONE;Gravier Productions and Televisió de Catalunya (TV3) and Versátil Cinema and Mediapro and Pontchartrain Productions;ES and US;NONE
2889;Manhattan;NONE;12.051;NONE;United Artists and Jack Rollins & Charles H. Joffe Productions;US;NONE
734;Zootopia;en;26.025;2016;Walt Disney Pictures and Walt Disney Animation Studios;US;NONE
2653;La Bamba;NONE;6.477;1987;NONE;US;Luis Valdez
1178;Cold Turkey;en;NONE;NONE;NONE;US;Norman Lear
2255;Lost & Found;en;1.337;1999;Alcon Entertainment and Dinamo Entertainment;US;NONE
1135;Highlander: The Final Dimension;en;6.867;1994;NONE;CA and FR and GB;Andrew Morahan
74;Jackson County Jail;en;2.483;1976;New World Pictures;US;NONE
463;Parenthood;en;8.098;1989;Imagine Entertainment and Universal Pictures;US;NONE
757;Four Christmases;en;7.210;2008;New Line Cinema and Spyglass Entertainment and Type A Films and Ott Medien and Wild West Picture Show Productions;NONE;Seth Gordon
1180;Precious Cargo;en;11.548;2016;Herrick Entertainment and Mann Made Films and Emmett Furla Oasis Films (EFO Films) and Highland Film Group (HFG) and Lionsgate Premiere;CA;NONE
1616;The River;en;6.303;1984;Universal Pictures;US;NONE
703;Beyond the Mat;NONE;2.691;NONE;NONE;US;Barry W. Blaustein
1300;Warm Bodies;en;10.430;NONE;Summit Entertainment;CA;Jonathan Levine
450;Chasing Liberty;NONE;NONE;2004;Alcon Entertainment and ETIC Films and C.R.G. International and Trademark Films and Micro Fusion 2003-2;GB and US;Andy Cadiff
888;My Big Fat Greek Wedding;en;NONE;2002;Home Box Office (HBO) and Playtone and Gold Circle Films and Ontario Film Development Corporation and MPH Entertainment Productions;CA and US;NONE
1716;Sin Nombre;NONE;5.436;NONE;Universal Studios;NONE;Cary Fukunaga
2263;One Small Hitch;en;3.317;NONE;Principle Entertainment;US;NONE
2210;The Valet;en;7.696;2006;Gaumont and TF1 Films Production and EFVE and Kairos;FR;NONE
2729;The Boss Baby;NONE;13.393;2017;NONE;NONE;Tom McGrath
2257;Capote;en;6.013;2005;NONE;NONE;Bennett Miller
2462;Midnight Special;en;12.683;2016;Warner Bros. and Faliro House Productions and Tri-State Pictures;US;NONE
547;Tales from the Darkside: The Movie;en;5.732;NONE;NONE;NONE;John Harrison
1108;Seventh Son;en;NONE;2014;Legendary Pictures and Thunder Road Pictures and Outlaw Sinema and Moving Picture Company (MPC) and Pendle Mountain Productions and China Film Co.;CN and CA and US and GB;Sergei Bodrov
2948;Grimsby;NONE;13.913;2016;Columbia Pictures and Village Roadshow Pictures and Big Talk Productions and Sony Pictures Releasing and Sony Pictures Entertainment (SPE) and Working Title Films and Blue Sky Films and LStar Capital and Four by Two Films;AU and GB and US;Louis Leterrier
2692;Falling Down;en;10.175;NONE;Regency Enterprises and Alcor Films and Canal+ and Warner Bros.;US;NONE
2892;Mona Lisa;NONE;3.096;NONE;The Criterion Collection and HandMade Films;GB;Neil Jordan
2204;Cirque du Freak: The Vampire's Assistant;NONE;10.829;2009;Universal Pictures;NONE;NONE
207;Mighty Morphin Power Rangers: The Movie;en;7.024;1995;NONE;JP and US;Bryan Spicer
1717;RoboCop;en;10.247;2014;NONE;CA and US;NONE
1484;The Book Thief;en;16.374;NONE;Studio Babelsberg and Fox 2000 Pictures and Sunswept Entertainment;DE and US;Brian Percival
191;What to Expect When You're Expecting;en;NONE;2012;Alcon Entertainment and Lionsgate and Phoenix Pictures and What to Expect Productions;NONE;NONE
2672;The New World;NONE;7.695;2005;NONE;US;Terrence Malick
1525;THX 1138;en;8.152;NONE;American Zoetrope and Warner Bros.;US;George Lucas
2984;S.W.A.T.;en;13.335;2003;Original Film and Columbia Pictures Corporation and Camelot Pictures and Chris Lee Productions and Illusion Entertainment;US;NONE
1152;A Bridge Too Far;NONE;NONE;1977;United Artists and Joseph E. Levine Productions;GB and US;Richard Attenborough
726;Barbara;NONE;4.913;2012;Schramm Film Koerner & Weber and Zweites Deutsches Fernsehen (ZDF) and ARTE;NONE;NONE
1531;Gnomeo & Juliet;en;9.244;2011;NONE;US and GB;Kelly Asbury
2055;The Mist;en;8.436;2007;Darkwoods Productions and Dimension Films;US;NONE
342;The Mostly Unfabulous Social Life of Ethan Green;en;0.768;2005;Here Films;NONE;NONE
2839;The Mask of Zorro;NONE;NONE;1998;Amblin Entertainment and TriStar Pictures;NONE;Martin Campbell
2141;Sicario;en;19.511;2015;Lionsgate and Thunder Road Pictures and Black Label Media;NONE;Denis Villeneuve
88;The Zookeeper's Wife;en;13.655;2017;NONE;CZ and GB and US;Niki Caro
1559;Stone;en;11.275;2010;NONE;NONE;John Curran
799;The A-Team;NONE;16.748;NONE;Ingenious Film Partners and Twentieth Century Fox Film Corporation and Dune Entertainment and Scott Free Productions and Top Cow Productions and Stephen J. Cannell Productions and Big Screen Productions and Phoenix Film Partners;NONE;Joe Carnahan
1348;Orca: The Killer Whale;en;NONE;1977;Dino de Laurentiis Cinematografica;US;Michael Anderson
2786;Bellflower;en;NONE;2011;Coatwolf Productions;US;NONE
2754;The Clan;NONE;NONE;2015;El Deseo and Matanza Cine and Telefe and Fox International Productions (FIP) and Kramer & Sigman Films;ES and AR;NONE
1447;Myra Breckinridge;NONE;0.620;1970;Twentieth Century Fox Film Corporation;US;Michael Sarne
1974;Breaking Away;en;4.806;NONE;NONE;NONE;Peter Yates
2378;Faithful;en;NONE;1996;New Line Cinema and Miramax Films;NONE;NONE
850;The Last King of Scotland;en;NONE;NONE;NONE;GB and DE and US;Kevin Macdonald
863;He Named Me Malala;en;2.201;NONE;Participant Media and Imagenation Abu Dhabi FZ and Parkes+MacDonald Image Nation;AE and US;Davis Guggenheim
2862;Pro Lyuboff;en;NONE;2010;Profit;NONE;NONE
2157;Stand by Me;en;NONE;1986;Columbia Pictures and Act III Communications and The Body and Act III;NONE;Rob Reiner
2276;Dead Snow 2: Red vs. Dead;no;10.287;2014;NONE;NO;NONE
